filename,concentration_M,n_salt,box_a,box_b,box_c,volume_ang3,exp_density_g_cm3
kpf6_dme_1M.xyz,1.282480457,17,27.41042464,29.38700118,27.3260104,22011.37958,1.001
naotf_diglyme_1M.xyz,1.262355492,17,28.43843069,28.2030423,27.8814117,22362.29361,1.047
napf6_tgdme_1M.xyz,1.253220289,17,28.89636867,27.45953259,28.38796046,22525.30093,1.115
naotf_tgdme_1M.xyz,1.224636245,17,29.17302617,28.74810744,27.48528024,23051.06048,1.106
napf6_dme_1M.xyz,1.207182807,17,28.5962,28.5962,28.5962,23384.33249,0.995
natfsi_dme_1M.xyz,1.191992768,17,29.98026897,27.65627824,28.56242901,23682.32837,1.055
napf6_diglyme_1M.xyz,1.187429256,17,28.7539,28.7539,28.7539,23773.34397,1.059
naotf_pc_1M.xyz,1.181897519,17,29.53961969,27.33822181,29.57624501,23884.61239,1.277
naotf_dme_1M.xyz,1.173392791,17,28.8681,28.8681,28.8681,24057.7276,0.98
napf6_PC_1M.xyz,1.086238676,17,29.6204,29.6204,29.6204,25987.99396,1.291
napf6_dme_0.5M.xyz,0.531458507,8,29.2386,29.2386,29.2386,24995.95429,0.93452
napf6_dme_0.1M.xyz,0.169730833,2,27.26148769,28.94681503,24.79522267,19566.73445,0.873
naotf_dme_0.1M.xyz,0.167028519,2,28.46390304,27.00486595,25.86735284,19883.29995,0.873
napf6_diglyme_0.1M.xyz,0.165875562,2,25.5999952,28.1217515,27.81086115,20021.50348,0.952
naotf_diglyme_0.1M.xyz,0.163423791,2,26.98490611,27.92405533,26.96897325,20321.87678,0.95
napf6_tgdme_0.1M.xyz,0.158157528,2,27.2296446,27.9902665,27.55118097,20998.54609,1.014
naotf_tgdme_0.1M.xyz,0.156533381,2,27.72633949,27.87435542,27.45204857,21216.42119,1.016
napf6_pc_0.1M.xyz,0.149973109,2,27.43372095,29.18875573,27.65447387,22144.49085,1.206
naotf_pc_0.1M.xyz,0.14926481,2,27.87845332,27.09508049,29.45523818,22249.57195,1.207
diethyleneglycol_pure.xyz,0.0,0,20.482091,20.482091,20.482091,8592.565948,1.113
diglyme_pure.xyz,0.0,0,21.779576,21.779576,21.779576,10331.14037,0.939
dimethylcarbonate_pure.xyz,0.0,0,22.184555,22.184555,22.184555,10918.22814,1.063
dme_pure.xyz,0.0,0,22.097688,22.097688,22.097688,10790.47374,0.861
propylenecarbonate_pure.xyz,0.0,0,22.021012,22.021012,22.021012,10678.53857,1.199
tgdme_pure.xyz,0.0,0,28.3061,28.3061,28.3061,22679.84645,1.006
